business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Electrician service Kolhapur,Electrician,Electrician,Electrician,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,1.0,"Padalkar Colony, Kasaba Bawada, Kolhapur, Maharashtra 416006","Padalkar Colony, Kasaba Bawada",16.7406071,74.2472779,ChIJfx_Aqf4BwTsRdBckuduJ-UA,https://www.google.com/maps/place/?q=place_id:ChIJfx_Aqf4BwTsRdBckuduJ-UA,part_133,2026-09-22 06:00:39,2354
Shatakshi Electricals,Electrician,Electrical installation service,Electrical installation service,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 89835 22096,N/A,4.9,32.0,"Vinayak Apartment, 730, 4th Ln, opp. kumthekar Rexine, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.7004779,74.2351803,ChIJ3yxjDTABwTsR8y_2geWQqks,https://www.google.com/maps/place/?q=place_id:ChIJ3yxjDTABwTsR8y_2geWQqks,part_133,2026-09-22 06:00:39,2355
Kolekar Electricals,Electrician,Electrician,Electrician,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,2.0,"Highschool, Korochi, Vivekanandnagar, Maharashtra 416109",Korochi,16.7237981,74.43918289999999,ChIJSbElAaMdwTsRF4v4zqj_Fzg,https://www.google.com/maps/place/?q=place_id:ChIJSbElAaMdwTsRF4v4zqj_Fzg,part_133,2026-09-22 06:00:39,2356
POWER ENGINEERS,Electrician,Electrical equipment supplier,"Electrical equipment supplier, Electrical installation service, Electrical repair shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96655 54556,https://thepowerengineers.com/,5.0,8.0,"Industrial Estate, Ichalkaranji, Khotwadi, Maharashtra 416116",Industrial Estate,16.7149581,74.4500369,ChIJmSvJUwAdwTsRYw_8RPAr4aE,https://www.google.com/maps/place/?q=place_id:ChIJmSvJUwAdwTsRYw_8RPAr4aE,part_133,2026-09-22 06:00:39,2357
Harshwardhan Electric Point,Electrician,Electrician,Electrician,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 74478 18247,N/A,,,"Industrial Estate, Khotwadi, Maharashtra 416115",Industrial Estate,16.707408,74.452376,ChIJF_rGcwAdwTsRolG8RfwUym0,https://www.google.com/maps/place/?q=place_id:ChIJF_rGcwAdwTsRolG8RfwUym0,part_133,2026-09-22 06:00:39,2358
SAMARTH ELECTRICALS,Electrician,Electrician,Electrician,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 93594 28538,N/A,5.0,4.0,"RAJDOOTH HOTEL SAMOR, ICHALKARANJI, Station Road, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.7027908,74.4547061,ChIJj9gEfH0dwTsRGmbKm6uCLV4,https://www.google.com/maps/place/?q=place_id:ChIJj9gEfH0dwTsRGmbKm6uCLV4,part_133,2026-09-22 06:00:39,2359
BALAJI ELECTRICAL PROP VAIBHAV SHRIKANT NANDGAVE,Electrician,Cell phone accessory store,"Cell phone accessory store, Electrical repair shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,3.5,4.0,"1, Korochi, Vivekanandnagar, Maharashtra 416109",Korochi,16.7181381,74.4418804,ChIJRcogcQ0dwTsRJL7gvjmpsb4,https://www.google.com/maps/place/?q=place_id:ChIJRcogcQ0dwTsRJL7gvjmpsb4,part_133,2026-09-22 06:00:39,2360
Samrth Electrician,Electrician,Electrician,Electrician,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 70280 90625,N/A,,,"Ketakale Nagar, Galli Number 3, near Mahadev mandir, Ketkale Nagar, Jawaharnagar, Ichalkaranji, Jawaharnagar, Maharashtra 416115","Ketkale Nagar, Jawaharnagar",16.7089201,74.4451557,ChIJUYM9XLQdwTsRAj1icsnqueo,https://www.google.com/maps/place/?q=place_id:ChIJUYM9XLQdwTsRAj1icsnqueo,part_133,2026-09-22 06:00:39,2361
Shri Venkatesh Electricals,Electrician,Warehouse,"Warehouse, Air compressor supplier, Electrical engineer, Industrial equipment supplier",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.8,4.0,"Khanjire, Jawahar Nagar, Industrial Estate, Khotwadi, Maharashtra 416121","Jawahar Nagar, Industrial Estate",16.7178711,74.4580854,ChIJRwwgELQdwTsR_nFG8YzWGy4,https://www.google.com/maps/place/?q=place_id:ChIJRwwgELQdwTsR_nFG8YzWGy4,part_133,2026-09-22 06:00:39,2362
Shree Vinayak Electrical Controls,Electrician,Manufacturer,"Manufacturer, Electrical equipment supplier",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98223 24116,N/A,4.0,2.0,"Shop No.8 Inadra Colony, Kabnur, Jawaharnagar, Maharashtra 416138",Jawaharnagar,16.7060006,74.44257069999999,ChIJEaTzRnAdwTsRxJK69-RfAqc,https://www.google.com/maps/place/?q=place_id:ChIJEaTzRnAdwTsRxJK69-RfAqc,part_133,2026-09-22 06:00:39,2363
Prem shedsale house,Electrician,Electrician,Electrician,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,,,"PCFR+HQ8, Korochi, Ichalkaranji, Vivekanandnagar, Maharashtra 416109",Korochi,16.7239239,74.4419425,ChIJcz7CYwAdwTsRN4guF_FmPus,https://www.google.com/maps/place/?q=place_id:ChIJcz7CYwAdwTsRN4guF_FmPus,part_133,2026-09-22 06:00:39,2364
Vijayshri Engineering,Electrician,Electronics manufacturer,"Electronics manufacturer, Automation company, Electrical equipment supplier, Electronics Company, Industrial equipment supplier",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98230 61827,https://www.staticstabilizer.net/index.html,4.5,13.0,"P.O, Plot No.8, Gat No.915, Near Amit Process, Shahapur, Ganga Nagar, Khotwadi, Maharashtra 416121","Ganga Nagar, Industrial Estate",16.716597999999998,74.4525483,ChIJu9ZW7nQdwTsRd6QsOoMV5tE,https://www.google.com/maps/place/?q=place_id:ChIJu9ZW7nQdwTsRd6QsOoMV5tE,part_133,2026-09-22 06:00:39,2365
Vishal Electricals,Electrician,Electrical repair shop,"Electrical repair shop, Electric motor store, Electrical supply store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98507 08098,N/A,,,"Station Road, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.7081031,74.4507773,ChIJB5Y_SXYdwTsReE43_hOToBA,https://www.google.com/maps/place/?q=place_id:ChIJB5Y_SXYdwTsReE43_hOToBA,part_133,2026-09-22 06:00:39,2366
Tej Electronics,Electrician,Electronics manufacturer,"Electronics manufacturer, Electronics store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 94220 45938,N/A,4.1,9.0,"Shop No.6, Indira Mangal Karyalay, Kabnur, Jawaharnagar, Maharashtra 416138",Kabnur,16.7060062,74.4427587,ChIJI02CRnAdwTsRmstGJX85t0c,https://www.google.com/maps/place/?q=place_id:ChIJI02CRnAdwTsRmstGJX85t0c,part_133,2026-09-22 06:00:39,2367
"Amol Electricals,Motor workshop",Electrician,Electric motor repair shop,Electric motor repair shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 230 244 1641,N/A,4.6,25.0,"gala no 1, canteen building, Khanjire Industrial Estate, shahapur, Ichalkaranji, Maharashtra 416121","Ganesh Nagar, shahapur",16.709685,74.456775,ChIJS40W_5sdwTsRPCO-PFeMrKs,https://www.google.com/maps/place/?q=place_id:ChIJS40W_5sdwTsRPCO-PFeMrKs,part_133,2026-09-22 06:00:39,2368
KBT Electronics,Electrician,Electronics store,Electronics store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 93727 24020,N/A,3.7,10.0,"22/165, 9th Ln, Ganesh Nagar, Industrial Estate, Khotwadi, Maharashtra 416116","Ganesh Nagar, Industrial Estate",16.7144395,74.4507148,ChIJS2GpFnUdwTsRG4gP3bwU1I8,https://www.google.com/maps/place/?q=place_id:ChIJS2GpFnUdwTsRG4gP3bwU1I8,part_133,2026-09-22 06:00:39,2369
Bhairavanath Electricals,Electrician,Electrical supply store,Electrical supply store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 88068 61660,N/A,,,"PC2X+W9W, Near Roshan Masjid, Swami Apartment, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.702360499999998,74.448455,ChIJX_hno3kdwTsRQnn25ffLcI8,https://www.google.com/maps/place/?q=place_id:ChIJX_hno3kdwTsRQnn25ffLcI8,part_133,2026-09-22 06:00:39,2370
