business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Tanuja Cycle Service,Bicycle Shop and Repair,Bicycle repair shop,"Bicycle repair shop, Auto parts store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99215 22670,N/A,4.0,,"PF32+FF2, Near Kolhapur Bakery, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.703639,74.4511469,ChIJj0jwFXgdwTsRFJwEebJs2cE,https://www.google.com/maps/place/?q=place_id:ChIJj0jwFXgdwTsRFJwEebJs2cE,part_133,2026-09-22 06:00:34,1837
Zamir Cycle Service,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 75883 94788,N/A,5.0,,"PC4R+CCV, Shivaji Corner, Kabnur, Kabnur, Maharashtra 416138",Kabnur,16.7061042,74.4410322,ChIJxYYyJnAdwTsRSCHPlTnxcbc,https://www.google.com/maps/place/?q=place_id:ChIJxYYyJnAdwTsRSCHPlTnxcbc,part_133,2026-09-22 06:00:34,1838
Savant cycle service,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90215 35580,N/A,3.5,,"PCCQ+3RP, Korochi, Vivekanandnagar, Maharashtra 416109",Korochi,16.7202049,74.43957019999999,ChIJpS59MwAdwTsRlJA98hShSiY,https://www.google.com/maps/place/?q=place_id:ChIJpS59MwAdwTsRlJA98hShSiY,part_133,2026-09-22 06:00:34,1839
R.R Cycle Mall,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 77418 80444,N/A,4.4,,"Sahejram shopping complex, Kolhapur - Pandharpur Rd, near saraswati sadi depo, Gandhinagar, Uchgaon, Maharashtra 416119",416116,16.70869,74.2833191,ChIJLRoTkzMBwTsR-mioQy1P2jI,https://www.google.com/maps/place/?q=place_id:ChIJLRoTkzMBwTsR-mioQy1P2jI,part_133,2026-09-22 06:00:34,1840
DOSHI CYCLES & TOYS,Bicycle Shop and Repair,Electric bicycle store,Electric bicycle store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 72197 17217,N/A,4.1,,"No 1157/3, Doshi Cycle Company, Janta Bazar Chowk, Rajaram Rd, near Jaihind Clothing Store, E Ward, Sykes Extension, Kolhapur, Maharashtra 416001","E Ward, Sykes Extension",16.698745,74.2428219,ChIJj_wXPqMBwTsRcBIx0sfTyJU,https://www.google.com/maps/place/?q=place_id:ChIJj_wXPqMBwTsRcBIx0sfTyJU,part_133,2026-09-22 06:00:34,1841
Chandrakant Cycle And Auto Spares,Bicycle Shop and Repair,Auto repair shop,"Auto repair shop, Bicycle Shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 86249 41834,N/A,5.0,,"Shop No 1 Main Road, near by New Nagarpalika, Ichalkaranji, Maharashtra 416115",Vikash Nagar,16.7010284,74.456198,ChIJrRjVuYMdwTsRftJ-1qoh-fU,https://www.google.com/maps/place/?q=place_id:ChIJrRjVuYMdwTsRftJ-1qoh-fU,part_133,2026-09-22 06:00:34,1842
Yadav Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98235 30701,N/A,5.0,,"Market Yard road , Birdev chowk, kasaba vadgaon, Peth Vadgaon, Maharashtra 416112","Shivaji Chowk, kasaba vadgaon",16.834103,74.3145997,ChIJL-SwoxAFwTsR5z5_JFC3amM,https://www.google.com/maps/place/?q=place_id:ChIJL-SwoxAFwTsR5z5_JFC3amM,part_133,2026-09-22 06:00:34,1843
Hero Cycles Authorised Dealer - Vora Cycle Company,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop, Bicycle wholesaler, Electric bicycle store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 80 4599 9339,https://store.herocycles.com/hero-cycles-authorised-dealer-vora-cycle-company-bicycle-shop-laxmipuri-kolhapur-530821/Home?utm_source=locator&utm_medium=googleplaces,3.8,,"Ford Corner, No 147, C Ward, nearby Union Bank Of India, Laxmipuri, Kolhapur, Maharashtra 416002",Laxmipuri,16.7002815,74.2302689,ChIJH5kRW20AwTsRAgr23fZc_tk,https://www.google.com/maps/place/?q=place_id:ChIJH5kRW20AwTsRAgr23fZc_tk,part_133,2026-09-22 06:00:34,1844
POONAM CYCLE,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.2,,"P75J+GX2, Bapat Camp, Uchgaon, Maharashtra 416005",Bapat Camp,16.7087735,74.2824037,ChIJ97ocD8wBwTsRv_2yMqlIc1g,https://www.google.com/maps/place/?q=place_id:ChIJ97ocD8wBwTsRv_2yMqlIc1g,part_133,2026-09-22 06:00:34,1845
B N Parmale Cycle Stores,Bicycle Shop and Repair,Sporting goods store,Sporting goods store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99234 15357,N/A,4.0,,"opposite Bank Of India, C ward, Branch, Laxmipuri, Kolhapur, Maharashtra 416002","Branch, Laxmipuri",16.699276599999997,74.228667,ChIJQSWM5B0BwTsRpljCUw9ORHc,https://www.google.com/maps/place/?q=place_id:ChIJQSWM5B0BwTsRpljCUw9ORHc,part_133,2026-09-22 06:00:34,1846
Bicycle Doctor Best Bicycle Store in Kolhapur,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 83902 88857,http://www.bicycledoctor.co.in/,4.7,,"2094 B E Ward Mahadik Colony Plot No 1 pradnyapuri, opposite Ved Mahabharat construtions, Kolhapur, Maharashtra 416005",Ruikar Colony,16.7020937,74.2596827,ChIJpafely3-wDsRegI7viwcaBc,https://www.google.com/maps/place/?q=place_id:ChIJpafely3-wDsRegI7viwcaBc,part_133,2026-09-22 06:00:34,1847
Wildthings,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle rental service, Adventure Sports Center",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 231 662 2222,N/A,3.9,,"221, A-1, Shweta Apartment, Damini Hotel Road, near Sasane Ground, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.708271,74.241057,ChIJaW--02kAwTsRxe29NSlw0QM,https://www.google.com/maps/place/?q=place_id:ChIJaW--02kAwTsRxe29NSlw0QM,part_133,2026-09-22 06:00:34,1848
The Kolhapur Cycle Company,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Childrens Store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96657 63067,N/A,3.5,,"1393 C Ward, opposite Bank Of India, Laxmipuri, Kolhapur, Maharashtra 416002",Laxmipuri,16.6992686,74.2287143,ChIJi7B9snIAwTsRAZhcWzGxu9c,https://www.google.com/maps/place/?q=place_id:ChIJi7B9snIAwTsRAZhcWzGxu9c,part_133,2026-09-22 06:00:34,1849
BIG SHOWROOM NUTAN CYCLE COMPANY,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98600 09305,N/A,4.4,14.0,"Ward No- 7, 256, Saraswati Market, Main Rd, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6856315,74.46681749999999,ChIJ-976U3DiwDsRLodyv7WPiX4,https://www.google.com/maps/place/?q=place_id:ChIJ-976U3DiwDsRLodyv7WPiX4,part_133,2026-09-22 06:00:35,1850
NEW SHANKAR CYCLE AND SPARE PARTS,Bicycle Shop and Repair,Hardware store,Hardware store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 95954 56843,N/A,4.8,8.0,"GALLI NO 8, near BALUMAMA MANDIR, Jayshingpur Rural, Rajiv Gandhi Nagar, Jaysingpur, Maharashtra 416101","Jayshingpur Rural, Rajiv Gandhi Nagar",16.7790253,74.5500728,ChIJSapUo1ofwTsRaxbyZLUYUag,https://www.google.com/maps/place/?q=place_id:ChIJSapUo1ofwTsRaxbyZLUYUag,part_133,2026-09-22 06:00:35,1851
S.B.KURALE CYCLES,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,5.0,"New S.T Stand, Lok Bazar, Hupari, Maharashtra 416203",Lok Bazar,16.6202622,74.40229289999999,ChIJkeXAat79wDsRlxri6UOW1Js,https://www.google.com/maps/place/?q=place_id:ChIJkeXAat79wDsRlxri6UOW1Js,part_133,2026-09-22 06:00:35,1852
KIRAN WHEELS,Bicycle Shop and Repair,Two Wheeler Dealer,Two Wheeler Dealer,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.4,62.0,"QHQ2+MV4, Station Road - Shirol, Tal, Jaysingpur, Maharashtra 416101","Jayshingpur Rural, Purtiwadi",16.7891491,74.55219129999999,ChIJxQU2iz8fwTsRpXzjbT3A_vc,https://www.google.com/maps/place/?q=place_id:ChIJxQU2iz8fwTsRpXzjbT3A_vc,part_133,2026-09-22 06:00:36,1853
Bharat Cycle Company,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle rack, Bicycle repair shop, Bicycle wholesaler",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 231 265 8383,https://m.facebook.com/bharatcycles/,4.1,,"333, Prabhakar Plaza, Kolhapur Station Rd, Kolhapur, Maharashtra 416001",New Shahupuri,16.7043142,74.24058219999999,ChIJdbFQbWoAwTsRRUxpsILrqJQ,https://www.google.com/maps/place/?q=place_id:ChIJdbFQbWoAwTsRRUxpsILrqJQ,part_133,2026-09-22 06:01:22,5719
Shree Swami Samarth Cycle Company,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 99228 07479,N/A,4.0,,"Shop No 8, Gora Kumbhar Vasahat, Sant, Bapat Camp, Kolhapur, Maharashtra 416005",Bapat Camp,16.7101535,74.2681893,ChIJ4wZlzT8BwTsR_rT3MxZ6T7Y,https://www.google.com/maps/place/?q=place_id:ChIJ4wZlzT8BwTsR_rT3MxZ6T7Y,part_133,2026-09-22 06:01:22,5720
